subject_id	subject_label	mapping_justification	author_id	comment
31208-2	Specimen source identified	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
630-4	Bacteria identified in Urine by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
600-7	Bacteria identified in Blood by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9781-6	Acanthamoeba sp identified in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9816-0	Actinomyces sp identified in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
41273-4	Alpha-1-Fetoprotein interpretation in Amniotic fluid	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
41274-2	Alpha-1-Fetoprotein interpretation in Serum or Plasma	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49246-2	Alpha-1-Fetoprotein interpretation in Serum or Plasma Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
14618-3	Appearance of Stone	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
35359-9	AR gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
10644-3	Arthropod identified in Specimen	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
35466-2	AS+PWS gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
68366-4	Bacteria identified in Blood product unit by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
610-6	Bacteria identified in Body fluid by Aerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
17956-4	Bacteria identified in Body fluid by Anaerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
611-4	Bacteria identified in Body fluid by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
606-4	Bacteria identified in Cerebral spinal fluid by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
32367-5	Bacteria identified in Isolate by Aerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
634-6	Bacteria identified in Specimen by Aerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
635-3	Bacteria identified in Specimen by Anaerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
6463-4	Bacteria identified in Specimen by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
32355-0	Bacteria identified in Specimen by Respiratory culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
623-9	Bacteria identified in Sputum by Cystic fibrosis respiratory culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
625-4	Bacteria identified in Stool by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
626-2	Bacteria identified in Throat by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
73836-9	Bacteria.fluoroquinolone resistant identified in Anal by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
29576-6	Bacterial susceptibility panel	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
57087-9	Biotinidase newborn screening panel	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
94191-4	BRCA1+BRCA2 gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
6331-3	Campylobacter sp identified in Stool by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
38404-0	CFTR gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
72828-7	Chlamydia trachomatis and Neisseria gonorrhoeae DNA panel - Specimen	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
62356-1	Chromosome analysis result in ISCN expression	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
59462-2	Clinical biochemist review of results	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
41751-9	COL3A1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
30211-7	Collection duration of Specimen	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
13363-7	Collection duration of Stool	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
13362-9	Collection duration of Urine	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9796-4	Color of Stone	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9795-6	Composition in Stone	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
19767-3	Cytologist who read Cyto stain of Cervical or vaginal smear or scraping	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
72852-7	Cytomegalovirus resistance panel by Genotype method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
51968-6	Discrete variation analysis overall interpretation	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
75693-2	Fetal sex in Plasma cell-free DNA by Dosage of chromosome specific cell free (cf) DNA	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
36913-2	FMR1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
35353-2	FSHD gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
36908-2	Gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
51969-4	Genetic analysis report	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
53039-4	Genetic disease analysis overall carrier interpretation	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
46738-1	Genetic.Disorders newborn screen interpretation	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
21299-3	Gestational age method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
10671-6	Helminth identified in Specimen	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
5859-4	Herpes simplex virus identified in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
34519-9	HFE gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
72560-6	HIV integrase inhibitor susceptibility panel by Genotype method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49660-4	HIV susceptibility panel by Genotype method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49665-3	HIV susceptibility panel by Phenotype method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
45023-9	HLA typing for celiac disease panel - Blood or Tissue	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
53783-7	HTT gene mutation panel - Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
50621-2	HTT gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
48670-4	IgVH gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
25700-6	Immunofixation for Serum or Plasma	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49275-1	Immunofixation for Serum or Plasma Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
13440-3	Immunofixation for Urine	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49276-9	Immunofixation for Urine Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
69048-7	Immunologist review of results	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
6604-3	Influenza virus identified in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
52129-4	INR in Platelet poor plasma by Coagulation assay --post heparin neutralization	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
48726-4	JAK2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
55201-8	KIT gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
593-4	Legionella sp identified in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
62255-5	Lipoprotein insulin resistance score in Serum or Plasma	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
77616-1	Liver fibrosis score in Serum or Plasma Calculated by FibroMeter	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
59464-8	Microbiologist review of results	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
41852-5	Microorganism or agent identified in Specimen	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
32819-5	Microsporidia identified in Stool by Trichrome stain	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
79563-3	Mucopolysaccharidosis type I newborn screening panel	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
48793-4	Necroinflammatory activity grade	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
48792-6	Necroinflammatory activity score	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
34492-9	NOTCH3 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9800-4	Number of Stones	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
93479-4	Observation interpretation	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
673-4	Ova and parasites identified in Specimen by Light microscopy	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
10701-1	Ova and parasites identified in Stool by Concentration	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
10704-5	Ova and parasites identified in Stool by Light microscopy	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
43227-8	Ova and parasites identified in Stool by Trichrome stain	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
38406-5	PABPN1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
21026-0	Pathologist interpretation of Blood tests	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
21025-2	Pathologist interpretation of Body fluid tests	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
21024-5	Pathologist interpretation of Cerebral spinal fluid tests	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
50595-8	Pathologist interpretation of Specimen tests	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
14869-2	Pathologist review of Blood tests	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
59465-5	Pathologist review of results	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
19769-9	Pathologist who read Cyto stain of Cervical or vaginal smear or scraping	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
22634-0	Pathology report gross observation Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
22635-7	Pathology report microscopic observation Narrative Other stain	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
22636-5	Pathology report relevant history Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
637-9	Plasmodium sp identified in Blood by Thick film	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
63414-7	Pompe disease newborn screening panel	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49549-9	Referral lab test method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
19147-8	Referral lab test reference range	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
19146-0	Referral lab test results	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
50219-5	Respiratory pathogens DNA and RNA 12a panel - Specimen by NAA with probe detection	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
55101-0	Respiratory pathogens panel - Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
69570-0	Risk of ovarian malignancy algorithm score in Serum or Plasma --postmenopausal	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
69569-2	Risk of ovarian malignancy algorithm score in Serum or Plasma --premenopausal	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
43371-4	Salmonella and Shigella sp identified in Stool by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
50733-5	Serotonin release interpretation in Serum	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
50734-3	Serotonin release.heparin.porcine in Serum	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
66488-8	Serotonin release.heparin.unfractionated in Serum Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
21726-5	SERPINA1 gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
8251-1	Service comment	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
62333-0	Severe combined immunodeficiency (SCID) newborn screening panel	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
35462-1	SMN1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49857-6	SMN1 gene+SMN2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
54449-4	SMN2 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
66746-9	Specimen type	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
38353-9	Streptococcus sp identified in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
51867-0	t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript in Blood or Tissue by FISH	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
62364-5	Test performance information in Specimen Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
79713-4	TPMT gene product metabolic activity interpretation in Blood or Tissue Qualitative by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
36922-3	TPMT gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
68458-9	Trichomonas sp identified in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49582-0	Trisomy 18 risk cutoff in Fetus	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
19157-7	Tube number of Cerebral spinal fluid	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
6579-7	Vibrio sp identified in Stool by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
5884-2	Virus identified in Cerebral spinal fluid by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
6584-7	Virus identified in Specimen by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9804-6	Weight of Stone	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
28549-4	Yersinia sp identified in Stool by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
10466-1	Anion gap 3 in Serum or Plasma	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
18314-5	Morphology [Interpretation] in Blood Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49296-7	Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
20458-6	Rubella virus IgG Ab [Interpretation] in Serum	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
71773-6	Mycobacterium tuberculosis stimulated gamma interferon [Interpretation] in Blood Qualitative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
48767-8	Annotation comment [Interpretation] Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
19764-0	Statement of adequacy [Interpretation] of Cervical or vaginal smear or scraping by Cyto stain	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49299-1	Protein Fractions [Interpretation] in Urine by Electrophoresis Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
20475-0	Cytomegalovirus IgG Ab [Interpretation] in Serum or Plasma	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
32769-2	Alpha 1 antitrypsin phenotype [Interpretation] in Serum or Plasma	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
13514-5	Hemoglobin pattern [Interpretation] in Blood by Electrophoresis Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
22638-1	Pathology report comments [Interpretation] Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
54247-2	Drug screen comment [Interpretation] in Urine	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
13068-2	Nuclear Ab pattern [Interpretation] in Serum by Immunofluorescence	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49293-4	Oligoclonal bands [Interpretation] in Cerebral spinal fluid by Electrophoresis Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
12782-9	Oligoclonal bands [Interpretation] in Cerebral spinal fluid by Electrophoresis	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
12710-0	Hemoglobin pattern [Interpretation] in Blood	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49092-0	Second trimester quad maternal screen [Interpretation] in Serum or Plasma Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
59060-4	Inflammatory bowel disease Ab 7 [Interpretation] in Serum	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
12851-2	Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49283-5	Metanephrine and Normetanephrine [Interpretation] in Urine Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
45265-6	Immunodeficiency markers [Interpretation] in Specimen Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
44909-0	5-Hydroxyindoleacetate and Creatinine [Interpretation] in Urine	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
42771-6	Streptococcus pneumoniae serotype IgG Ab [Interpretation] in Serum Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49257-9	Catecholamines [Interpretation] in Plasma Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
21347-0	HTLV I+II Ab band pattern [Interpretation] in Serum by Immunoblot	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49256-1	Catecholamines [Interpretation] in Urine Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
44012-3	Measles virus IgG and IgM [Interpretation] in Serum	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
58738-6	Drugs of abuse [Interpretation] in Meconium	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
21419-7	Neutrophil cytoplasmic Ab pattern [Interpretation] in Serum by Immunofluorescence	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
13503-8	Borrelia burgdorferi IgM band pattern [Interpretation] in Serum by Immunoblot	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
62365-2	Diagnostic impression [Interpretation] in Specimen Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
69568-4	Bacterial vaginosis [Interpretation] in Vaginal fluid Qualitative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
