subject_id	subject_label	subject_category	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	confidence	mapping_date	author_id
19153-6	Volume in Urine collected for unspecified duration		skos:exactMatch	OBA:0000173	urinary volume	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
28009-9	Volume of Urine		skos:exactMatch	OBA:0000173	urinary volume	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
31111-8	Reticulocyte production index		skos:broadMatch	OBA:0002272	reticulocyte amount	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2714-4	Fractional oxyhemoglobin in Arterial blood		skos:relatedMatch	OBA:0002293	respiratory gaseous exchange by respiratory system amount	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
11559-2	Fractional oxyhemoglobin in Blood		skos:relatedMatch	OBA:0002293	respiratory gaseous exchange by respiratory system amount	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
48795-9	Fibrosis score		skos:exactMatch	OBA:0002614	liver degeneration	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
48794-2	Fibrosis stage		skos:exactMatch	OBA:0002614	liver degeneration	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
87430-5	Cystatin C and Glomerular filtration rate by Cystatin-based formula panel - Serum or Plasma		skos:exactMatch	OBA:0003747	glomerular filtration rate	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2164-2	Creatinine renal clearance in 24 hour Urine and Serum or Plasma		skos:exactMatch	OBA:0004158	renal filtration rate	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2756-5	pH of Urine		skos:exactMatch	OBA:0004692	urine acidity	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
5803-2	pH of Urine by Test strip		skos:exactMatch	OBA:0004692	urine acidity	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
19991-9	Alveolar-arterial oxygen Partial pressure difference		skos:broadMatch	OBA:1000805	respiratory gaseous exchange by respiratory system quality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
76274-0	Ventilation-perfusion index Respiratory system		skos:broadMatch	OBA:1000805	respiratory gaseous exchange by respiratory system quality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
1757-4	Albumin renal clearance in 24 hour Urine and Serum or Plasma		skos:exactMatch	OBA:1000854	renal filtration quality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2693-0	Osmolality of Stool		skos:exactMatch	OBA:1001084	feces osmolality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
73561-3	Insulin-like growth factor-I [Z-score] in Serum or Plasma		skos:exactMatch	OBA:2042067	level of insulin-like growth factor I in blood serum	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
72203-3	Parathyrin.intact intraoperative panel - Serum or Plasma		skos:exactMatch	OBA:2043094	level of parathyroid hormone in blood serum	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
20657-3	Taurine [Moles/volume] in Serum or Plasma		skos:exactMatch	OBA:2045209	level of taurine in blood serum	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
30341-2	Erythrocyte sedimentation rate		skos:exactMatch	OBA:2045235	blood sedimentation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
4537-7	Erythrocyte sedimentation rate by Westergren method		skos:exactMatch	OBA:2045235	blood sedimentation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
50562-8	Specific gravity of Urine by Refractometry automated		skos:exactMatch	OBA:2045259	urine relative density	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
5811-5	Specific gravity of Urine by Test strip		skos:exactMatch	OBA:2045259	urine relative density	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
18047-1	Left ventricular Ejection fraction by US 2D modified biplane		skos:broadMatch	OBA:2045275	heart function attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
18048-9	Left ventricular Ejection fraction by US 2D modified single-plane		skos:broadMatch	OBA:2045275	heart function attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
8634-8	Q-T interval		skos:broadMatch	OBA:2045275	heart function attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
8636-3	Q-T interval corrected		skos:broadMatch	OBA:2045275	heart function attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
4667-2	Osmotic fragility of Red Blood Cells		skos:exactMatch	OBA:2045276	erythrocyte attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
57084-6	Fatty acid oxidation newborn screen panel		skos:exactMatch	OBA:2045289	fatty acid desaturase enzyme activity attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
601-5	Fungus identified in Blood by Culture		skos:broadMatch	OBA:2045296	defense response to other organism process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
42805-2	Fungus identified in Specimen		skos:broadMatch	OBA:2045296	defense response to other organism process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
580-1	Fungus identified in Specimen by Culture		skos:broadMatch	OBA:2045296	defense response to other organism process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
82195-9	Gastrointestinal pathogens DNA and RNA panel - Stool by NAA with non-probe detection		skos:broadMatch	OBA:2045296	defense response to other organism process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
29579-0	Mycobacterial susceptibility panel by Method for Slow-growing mycobacteria		skos:broadMatch	OBA:2045296	defense response to other organism process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
543-9	Mycobacterium sp identified in Specimen by Organism specific culture		skos:relatedMatch	OBA:2045296	defense response to other organism process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
34736-9	Calcium oxalate index in 24 hour Urine		skos:exactMatch	OBA:2045405	amount of calcium oxalate in urine	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
47528-5	Cytology report of Cervical or vaginal smear or scraping Cyto stain		skos:broadMatch	OBA:2045406	epithelial cell of cervix morphology	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
43391-2	Bacterial vaginosis score		skos:broadMatch	OBA:2045407	response to bacterium process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
533-0	Mycobacterium sp identified in Blood by Organism specific culture		skos:relatedMatch	OBA:2045407	response to bacterium process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2743-3	pH of Amniotic fluid		skos:exactMatch	OBA:2045408	amniotic fluid pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
41276-7	Anion gap in Blood		skos:broadMatch	OBA:2045409	blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
11555-0	Base excess in Blood by calculation		skos:broadMatch	OBA:2045409	blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
18185-9	Gestational age		skos:broadMatch	OBA:2045410	multicellular organism age	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
11884-4	Gestational age Estimated		skos:broadMatch	OBA:2045410	multicellular organism age	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
53693-8	Gestational age Estimated from conception date		skos:broadMatch	OBA:2045410	multicellular organism age	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
29638-4	Weight of Tissue		skos:exactMatch	OBA:2045411	tissue mass	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
47526-9	Cytology report of Specimen Cyto stain		skos:broadMatch	OBA:2045412	anatomical entity morphology	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
3154-2	Weight of Specimen		skos:broadMatch	OBA:2045413	anatomical entity mass	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
32167-9	Clarity of Urine		skos:exactMatch	OBA:2045414	urine opacity	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2695-5	Osmolality of Urine		skos:exactMatch	OBA:2045415	urine osmolality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
29605-3	Appearance of Synovial fluid		skos:broadMatch	OBA:2045416	synovial fluid attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
41238-7	Viscosity of Synovial fluid		skos:exactMatch	OBA:2045417	synovial fluid viscosity	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
10333-3	Appearance of Cerebral spinal fluid		skos:exactMatch	OBA:2045418	appearance of cerebrospinal fluid	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
10335-8	Color of Cerebral spinal fluid		skos:exactMatch	OBA:2045419	cerebrospinal fluid color	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
12146-7	Fetal Nuchal fold Thickness US		skos:broadMatch	OBA:2045420	skin of neck thickness	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
13359-5	Character of Semen		skos:exactMatch	OBA:2045421	semen attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
50677-4	Semen analysis post vasectomy panel		skos:broadMatch	OBA:2045421	semen attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
3160-9	Volume of Semen		skos:exactMatch	OBA:2045422	semen volume	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
9631-3	Viscosity of Semen		skos:exactMatch	OBA:2045423	semen viscosity	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
32789-0	Viscosity of Semen Qualitative		skos:exactMatch	OBA:2045423	semen viscosity	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2752-4	pH of Semen		skos:exactMatch	OBA:2045424	semen pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2753-2	pH of Serum or Plasma		skos:exactMatch	OBA:2045425	plasma pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2692-2	Osmolality of Serum or Plasma		skos:exactMatch	OBA:2045426	blood plasma osmolality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
3128-6	Viscosity of Serum		skos:exactMatch	OBA:2045427	blood serum viscosity	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
11029-6	Consistency of Stool		skos:exactMatch	OBA:2045428	feces consistency	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
30078-0	Weight of Stool		skos:exactMatch	OBA:2045429	feces mass	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2755-7	pH of Stool		skos:exactMatch	OBA:2045430	feces pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
9335-1	Appearance of Body fluid		skos:broadMatch	OBA:2045431	body fluid attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
6824-7	Color of Body fluid		skos:exactMatch	OBA:2045432	body fluid color	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
60840-6	Base excess in Extracellular fluid by calculation		skos:broadMatch	OBA:2045433	body fluid pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2748-2	pH of Body fluid		skos:exactMatch	OBA:2045433	body fluid pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
28638-5	Base excess in Arterial cord blood by calculation		skos:broadMatch	OBA:2045434	umbilical cord blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
28639-3	Base excess in Venous cord blood by calculation		skos:broadMatch	OBA:2045434	umbilical cord blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
28646-8	pH of Arterial cord blood		skos:broadMatch	OBA:2045434	umbilical cord blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
28647-6	pH of Venous cord blood		skos:broadMatch	OBA:2045434	umbilical cord blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2749-0	pH of Gastric fluid		skos:exactMatch	OBA:2045435	stomach content pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
9349-2	pH total acid of Gastric fluid		skos:exactMatch	OBA:2045435	stomach content pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
1925-7	Base excess in Arterial blood by calculation		skos:broadMatch	OBA:2045436	arterial blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
19235-1	Base excess standard in Arterial blood by calculation		skos:broadMatch	OBA:2045436	arterial blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2744-1	pH of Arterial blood		skos:exactMatch	OBA:2045436	arterial blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
33254-4	pH of Arterial blood adjusted to patient's actual temperature		skos:exactMatch	OBA:2045436	arterial blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
1927-3	Base excess in Venous blood by calculation		skos:broadMatch	OBA:2045437	venous blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
19237-7	Base excess standard in Venous blood by calculation		skos:broadMatch	OBA:2045437	venous blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2746-6	pH of Venous blood		skos:exactMatch	OBA:2045437	venous blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
39486-6	pH of Venous blood adjusted to patient's actual temperature		skos:exactMatch	OBA:2045437	venous blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
1926-5	Base excess in Capillary blood by calculation		skos:broadMatch	OBA:2045438	capillary blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
19236-9	Base excess standard in Capillary blood by calculation		skos:broadMatch	OBA:2045438	capillary blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2745-8	pH of Capillary blood		skos:exactMatch	OBA:2045438	capillary blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
39485-8	pH of Capillary blood adjusted to patient's actual temperature		skos:exactMatch	OBA:2045438	capillary blood pH	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
8277-6	Body surface area		skos:exactMatch	OBA:2045439	body surface area	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
49061-5	Hepatic iron index		skos:exactMatch	OBA:2045440	hepatic iron amount	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
19218-7	Oxygen content in Arterial blood		skos:exactMatch	OBA:2045442	arterial blood oxygen level	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
20564-1	Oxygen saturation in Blood		skos:exactMatch	OBA:2045443	oxygen concentration in blood	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
28642-7	Oxygen saturation in Arterial cord blood		skos:broadMatch	OBA:2045444	oxygen concentration in umbilical cord blood	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
28643-5	Oxygen saturation in Venous cord blood		skos:broadMatch	OBA:2045444	oxygen concentration in umbilical cord blood	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
51733-4	Oxygen saturation Calculated from oxygen partial pressure in Arterial blood		skos:broadMatch	OBA:2045445	oxygen concentration in arterial blood	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2708-6	Oxygen saturation in Arterial blood		skos:exactMatch	OBA:2045445	oxygen concentration in arterial blood	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
51731-8	Oxygen saturation Calculated from oxygen partial pressure in Venous blood		skos:broadMatch	OBA:2045446	oxygen concentration in venous blood	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2711-0	Oxygen saturation in Venous blood		skos:exactMatch	OBA:2045446	oxygen concentration in venous blood	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
51732-6	Oxygen saturation Calculated from oxygen partial pressure in Capillary blood		skos:broadMatch	OBA:2045447	oxygen concentration in capillary blood	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2709-4	Oxygen saturation in Capillary blood		skos:exactMatch	OBA:2045447	oxygen concentration in capillary blood	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
73818-7	Heparin induced platelet IgG Ab in Serum or Plasma by Immunoassay		skos:broadMatch	OBA:2045448	attribute of response to heparin in plasma	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
32215-6	Thyroxine (T4) free index in Serum or Plasma by calculation		skos:broadMatch	OBA:2045449	plasma thyroxine level	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
64116-7	Hemoglobin observations newborn screening panel		skos:broadMatch	OBA:2045450	blood hemoglobin attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
19058-7	Allergens identified in Serum		skos:broadMatch	OBA:2045451	attribute of response to  allergen in serum	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
3050-2	Triiodothyronine resin uptake (T3RU) in Serum or Plasma		skos:exactMatch	OBA:2045452	attribute of response to thyroid hormone in plasma	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
5767-9	Appearance of Urine		skos:broadMatch	OBA:VT0000056	urine trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
81323-8	Urine collection associated observations panel - 24 hour Urine		skos:broadMatch	OBA:VT0000056	urine trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
8302-2	Body height		skos:exactMatch	OBA:VT0001253	body height	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
3137-7	Body height Measured		skos:exactMatch	OBA:VT0001253	body height	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
11957-8	Fetal Crown Rump length US		skos:broadMatch	OBA:VT0001256	body length	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
29463-7	Body weight		skos:exactMatch	OBA:VT0001259	body mass	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
8339-4	Birth weight Measured		skos:broadMatch	OBA:VT0001259	body mass	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
3141-9	Body weight Measured		skos:exactMatch	OBA:VT0001259	body mass	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
41270-0	Drugs identified in Urine		skos:broadMatch	OBA:VT0001757	urine molecular composition	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
6301-6	INR in Platelet poor plasma by Coagulation assay		skos:broadMatch	OBA:VT0002551	blood coagulation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
34714-6	INR in Blood by Coagulation assay		skos:broadMatch	OBA:VT0002551	blood coagulation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
3184-9	Activated clotting time (ACT) of Blood by Coagulation assay		skos:broadMatch	OBA:VT0002551	blood coagulation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
80659-6	Activated clotting time (ACT) of Blood induced by Kaolin		skos:broadMatch	OBA:VT0002551	blood coagulation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
16631-4	aPTT in Blood by Coagulation 1:1 saline		skos:relatedMatch	OBA:VT0002551	blood coagulation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
3173-2	aPTT in Blood by Coagulation assay		skos:relatedMatch	OBA:VT0002551	blood coagulation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
43734-3	aPTT in Platelet poor plasma by Coagulation 1:1 saline		skos:relatedMatch	OBA:VT0002551	blood coagulation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
